,active_parcel,deposits_record_id,district_id,liens_record_id,invoice_purchase_amount,invoice_interest,invoice_total,invoice_professional_costs,invoice_penalty,invoice_variance,date_modified,payment_validation,date_created,invoice_income_other,record_owner,last_modified_by,invoice_recording___admin,created_by_auto_redeem
0,17110-R0013-045-007,41169,17110,544287,2612.53,130.63,2743.16,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
1,17110-R02020-000-00,41169,17110,406568,755.07,145.98,901.05,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
2,17110-R03724-002-00,41169,17110,406601,918.33,45.92,964.25,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
3,17110-R03746-000-00,41169,17110,544191,748.47,37.42,785.89,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
4,17110-R03754-000-00,41169,17110,544189,637.75,31.89,669.64,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
5,17110-R04613-000-06,41169,17110,544145,385.73,19.29,405.02,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
6,17110-R05569-034-00,41169,17110,544124,787.04,39.35,826.39,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
7,17110-R05787-000-00,41169,17110,415106,6949.53,347.48,7297.01,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
8,17110-R05788-001-24,41169,17110,397875,749.58,37.48,787.06,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
9,17110-R06156-000-00,41169,17110,394204,1375.43,68.77,1444.2,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
10,17110-R07393-000-05,41169,17110,544003,341.33,17.07,358.4,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
11,17110-R07570-035-00,41169,17110,543952,610.73,30.54,641.27,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
12,17110-R07570-040-01,41169,17110,404521,782.95,151.37,934.32,0,0,0,10-16-2017 18:10:11,Approved,10-16-2017 18:10:11,0,bperlman@figadvisors.com,bperlman@figadvisors.com,0,True
